State,Constituency,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Result
Uttar Pradesh,Sant Kabir Nagar,NOTA,None of the Above,9210,17,9227,0.85,Lost
Uttar Pradesh,Shahjahanpur,ARUN KUMAR SAGAR,Bharatiya Janata Party,591500,1218,592718,47.5,Won
Uttar Pradesh,Shahjahanpur,JYOTSNA GOND,Samajwadi Party,534720,2619,537339,43.06,Lost
Uttar Pradesh,Shahjahanpur,DOD RAM VERMA,Bahujan Samaj Party,91302,408,91710,7.35,Lost
Uttar Pradesh,Shahjahanpur,KIRAN,Rashtriya Sanatan Party,6587,1,6588,0.53,Lost
Uttar Pradesh,Shahjahanpur,SHIV KUMAR,Independent,2805,0,2805,0.22,Lost
Uttar Pradesh,Shahjahanpur,MEENA KASYAP,Independent,2051,10,2061,0.17,Lost
Uttar Pradesh,Shahjahanpur,PRADEEP KUMAR,Independent,1996,9,2005,0.16,Lost
Uttar Pradesh,Shahjahanpur,PREMCHANDRA HARIJAN,Sardar Patel Siddhant Party,1686,1,1687,0.14,Lost
Uttar Pradesh,Shahjahanpur,DHARM PAL,Independent,1413,10,1423,0.11,Lost
Uttar Pradesh,Shahjahanpur,RAMESH CHANDRA VERMA,Manav Kranti Party,1076,0,1076,0.09,Lost
Uttar Pradesh,Shahjahanpur,NOTA,None of the Above,8449,41,8490,0.68,Lost
Uttar Pradesh,Shrawasti,RAM SHIROMANI VERMA,Samajwadi Party,510754,301,511055,48.83,Won
